start,stop,status.time,ID,Country.Name,Threshold,doublingStart,doublingEnd,doublingTime,status,regime_bmr_owid,region,Education,EnergyUse,RuralPopulation,yearsSince1960,SecondaryEnrollment
2,3,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
3,4,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
4,5,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
5,6,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
6,7,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
7,8,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
8,9,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
9,10,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
10,11,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
11,12,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
12,13,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
13,14,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
14,15,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
15,16,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
16,17,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
17,18,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
18,19,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
19,20,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
20,21,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
21,22,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
22,23,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
23,24,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
24,25,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
25,26,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
26,27,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
27,28,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
28,29,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
29,30,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
30,31,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
31,32,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
32,33,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
33,34,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
34,35,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
35,36,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
36,37,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
37,38,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
38,39,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
39,40,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
40,41,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
41,42,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
42,43,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
43,44,1,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
0,1,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
1,2,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
2,3,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
3,4,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
4,5,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
5,6,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
6,7,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
7,8,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
8,9,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
9,10,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
10,11,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
11,12,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
12,13,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
13,14,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
14,15,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
15,16,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
16,17,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
17,18,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
18,19,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
19,20,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
20,21,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
21,22,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
22,23,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
23,24,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
24,25,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
25,26,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
26,27,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
27,28,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
28,29,0,3,Angola,Low Income,1992,2021,29,0,0,Africa,NA,478.585781,59.961,32,10.09932995
0,1,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
1,2,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
2,3,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
3,4,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
4,5,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
5,6,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
6,7,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
7,8,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
8,9,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
9,10,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
10,11,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
11,12,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
12,13,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
13,14,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
14,15,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
15,16,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
16,17,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
17,18,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
18,19,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
19,20,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
20,21,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
21,22,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
22,23,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
23,24,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
24,25,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
25,26,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
26,27,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
27,28,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
28,29,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
29,30,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
30,31,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
31,32,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
32,33,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
33,34,0,4,Antigua and Barbuda,Developed,1987,2021,34,0,0,North America,NA,NA,64.817,27,NA
0,1,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
1,2,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
2,3,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
3,4,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
4,5,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
5,6,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
6,7,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
7,8,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
8,9,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
9,10,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
10,11,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
11,12,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
12,13,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
13,14,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
14,15,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
15,16,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
16,17,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
17,18,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
18,19,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
19,20,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
20,21,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
21,22,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
22,23,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
23,24,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
24,25,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
25,26,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
26,27,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
27,28,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
28,29,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
29,30,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
30,31,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
31,32,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
32,33,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
33,34,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
34,35,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
35,36,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
36,37,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
37,38,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
38,39,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
39,40,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
40,41,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
41,42,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
42,43,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
43,44,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
44,45,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
45,46,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
46,47,0,5,Argentina,Developed,1974,2021,47,0,1,South America,NA,1425.813178,19.433,14,52.63312912
0,1,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
1,2,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
2,3,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
3,4,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
4,5,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
5,6,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
6,7,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
7,8,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
8,9,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
9,10,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
10,11,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
11,12,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
12,13,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
13,14,0,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
14,15,1,6,Armenia,Low-Mid Income,2004,2019,15,1,0,Asia,NA,698.0852897,35.962,44,89.34573364
0,1,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
1,2,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
2,3,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
3,4,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
4,5,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
5,6,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
6,7,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
7,8,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
8,9,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
9,10,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
10,11,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
11,12,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
12,13,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
13,14,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
14,15,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
15,16,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
16,17,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
17,18,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
18,19,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
19,20,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
20,21,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
21,22,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
22,23,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
23,24,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
24,25,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
25,26,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
26,27,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
27,28,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
28,29,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
29,30,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
30,31,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
31,32,0,7,Aruba,Wealthy,1988,2020,32,0,1,NA,NA,NA,49.65,28,NA
0,1,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
1,2,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
2,3,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
3,4,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
4,5,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
5,6,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
6,7,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
7,8,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
8,9,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
9,10,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
10,11,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
11,12,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
12,13,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
13,14,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
14,15,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
15,16,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
16,17,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
17,18,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
18,19,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
19,20,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
20,21,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
21,22,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
22,23,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
23,24,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
24,25,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
25,26,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
26,27,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
27,28,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
28,29,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
29,30,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
30,31,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
31,32,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
32,33,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
33,34,0,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
34,35,1,8,Australia,Wealthy,1961,1996,35,1,1,Oceania,NA,3115.787084,18.059,1,NA
0,1,0,9,Austria,Wealthy,1972,2004,32,1,1,Europe,NA,2627.322496,34.689,12,NA
1,2,0,9,Austria,Wealthy,1972,2004,32,1,1,Europe,NA,2627.322496,34.689,12,NA
2,3,0,9,Austria,Wealthy,1972,2004,32,1,1,Europe,NA,2627.322496,34.689,12,NA
3,4,0,9,Austria,Wealthy,1972,2004,32,1,1,Europe,NA,2627.322496,34.689,12,NA
4,5,0,9,Austria,Wealthy,1972,2004,32,1,1,Europe,NA,2627.322496,34.689,12,NA
5,6,0,9,Austria,Wealthy,1972,2004,32,1,1,Europe,NA,2627.322496,34.689,12,NA
6,7,0,9,Austria,Wealthy,1972,2004,32,1,1,Europe,NA,2627.322496,34.689,12,NA
7,8,0,9,Austria,Wealthy,1972,2004,32,1,1,Europe,NA,2627.322496,34.689,12,NA
8,9,0,9,Austria,Wealthy,1972,2004,32,1,1,Europe,NA,2627.322496,34.689,12,NA
9,10,0,9,Austria,Wealthy,1972,2004,32,1,1,Europe,NA,2627.322496,34.689,12,NA
